StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12
2022-11-16 09:06:52,2022-11-16 09:07:36,IP Address,131.212.251.241,100,44,True,2022-11-16 09:07:37,R_vfx1nFRCjWrUD61,,,,,44.9696,-93.2348,anonymous,EN,Strongly Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree
2022-11-16 09:07:35,2022-11-16 09:07:54,IP Address,131.212.250.176,100,19,True,2022-11-16 09:07:55,R_1r0lDzlf3AWUX9D,,,,,44.9764,-93.224,anonymous,EN,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
2022-11-16 09:11:06,2022-11-16 09:11:57,IP Address,131.212.248.141,100,51,True,2022-11-16 09:11:58,R_3pioF8tGmlaamE3,,,,,44.9764,-93.224,anonymous,EN,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Agree,Neutral,Agree
2022-11-16 09:12:19,2022-11-16 09:13:29,IP Address,131.212.248.235,100,70,True,2022-11-16 09:13:29,R_1i3glYL0Cc7dJrL,,,,,44.9764,-93.224,anonymous,EN,,,,,,,,,,,,
2022-11-16 09:14:29,2022-11-16 09:15:28,IP Address,131.212.251.208,100,59,True,2022-11-16 09:15:28,R_2afzREPiBi6VlxV,,,,,44.9696,-93.2348,anonymous,EN,Disagree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Neutral,Agree
2022-11-16 09:14:04,2022-11-16 09:15:29,IP Address,131.212.251.109,100,85,True,2022-11-16 09:15:29,R_3scVzLtvmU1Zkrx,,,,,44.9696,-93.2348,anonymous,EN,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral
2022-11-16 09:25:48,2022-11-16 09:27:11,IP Address,131.212.250.152,100,82,True,2022-11-16 09:27:12,R_2EsflT0vGBN0yfC,,,,,44.9764,-93.224,anonymous,EN,Agree,Strongly disagree,Strongly Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
2022-11-16 09:31:20,2022-11-16 09:32:24,IP Address,131.212.251.92,100,64,True,2022-11-16 09:32:24,R_x56rOrqZxxB416V,,,,,44.9696,-93.2348,anonymous,EN,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree
2022-11-16 09:31:30,2022-11-16 09:32:43,IP Address,131.212.251.60,100,73,True,2022-11-16 09:32:44,R_3qaRfg8Lvk7fQzN,,,,,44.9696,-93.2348,anonymous,EN,Agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree
2022-11-16 09:32:12,2022-11-16 09:33:58,IP Address,64.62.149.61,100,105,True,2022-11-16 09:33:58,R_1BRXTPu1neFlwYu,,,,,44.9764,-93.224,anonymous,EN,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly disagree,Agree,Neutral,Neutral,Agree,Agree
2022-11-16 09:36:48,2022-11-16 09:37:55,IP Address,131.212.248.151,100,66,True,2022-11-16 09:37:55,R_QfQwlRIjukfGLM5,,,,,44.9764,-93.224,anonymous,EN,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree
2022-11-16 09:39:36,2022-11-16 09:40:48,IP Address,131.212.249.219,100,71,True,2022-11-16 09:40:48,R_2YXk6yn1zsRxslW,,,,,44.9764,-93.224,anonymous,EN,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
2022-11-16 09:40:57,2022-11-16 09:41:44,IP Address,131.212.251.49,100,47,True,2022-11-16 09:41:45,R_1n7q7B7mscxeOX1,,,,,44.9696,-93.2348,anonymous,EN,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree
2022-11-16 09:41:38,2022-11-16 09:42:30,IP Address,131.212.250.111,100,51,True,2022-11-16 09:42:31,R_2VdVUME3RcFCiDz,,,,,44.9764,-93.224,anonymous,EN,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree
2022-11-16 09:53:51,2022-11-16 09:54:53,IP Address,131.212.249.59,100,61,True,2022-11-16 09:54:53,R_pF3zjNV3ADCUv3b,,,,,44.9764,-93.224,anonymous,EN,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
